snake_x,snake_y,food_x,food_y,direction_snake,direction_food,move_made
310,235,-5,195,down,down,d
330,235,-5,195,down,left,d
0,235,-5,195,down,left,d
20,235,-5,195,down,left,d
40,235,-5,195,down,left,d
60,235,-5,195,down,left,d
80,235,-5,195,right,left,s
80,255,-5,195,right,left,s
80,275,-5,215,down,down,a
60,275,-5,235,down,down,a
40,275,-5,235,left,down,w
40,255,-5,255,left,up,w
40,235,-5,235,left,up,w
40,215,-5,215,left,up,w
40,195,-5,215,up,up,a
20,195,-5,215,left,left,s
20,215,-5,215,left,left,s
20,235,-5,215,left,left,s
20,255,-5,215,left,up,s
20,275,-5,195,left,up,s
20,295,-5,195,left,up,s
20,315,-5,175,down,up,a
0,315,-5,155,down,up,a
330,315,-5,135,down,up,a
310,315,-5,135,left,up,w
310,295,-5,115,left,up,w
310,275,-5,95,left,up,w
310,255,-5,95,left,up,w
310,235,-5,75,left,up,w
310,215,-5,75,left,left,w
310,195,-5,75,left,left,w
310,175,-5,75,left,left,w
310,155,-5,75,left,left,w
310,135,-5,55,left,up,w
310,115,-5,55,up,up,d
330,115,-5,35,up,up,d
0,115,-5,35,up,left,d
20,115,-5,35,up,left,d
40,115,-5,35,right,left,w
40,95,-5,35,right,left,w
40,75,-5,35,right,right,w
40,55,15,35,right,right,w
40,35,35,35,right,right,w
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,195,195,right,down,d
140,75,195,195,right,down,d
160,75,215,195,right,right,d
180,75,235,195,right,right,d
200,75,235,195,right,left,s
200,95,215,195,right,left,s
200,115,195,195,down,left,d
220,115,175,195,down,left,d
240,115,175,195,down,up,d
260,115,175,175,right,up,s
260,135,175,155,right,up,s
260,155,175,155,right,up,s
260,175,175,135,right,down,s
260,195,175,155,down,down,a
240,195,175,155,down,down,a
220,195,175,175,down,down,a
200,195,175,195,down,down,a
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,195,195,right,down,d
140,75,195,195,right,down,d
160,75,215,195,right,right,d
180,75,235,195,right,right,d
200,75,235,195,right,left,d
220,75,215,195,right,left,s
220,95,195,195,right,left,s
220,115,175,195,right,left,s
220,135,175,195,right,up,s
220,155,175,175,right,up,s
220,175,175,155,right,up,s
220,195,175,155,down,up,a
200,195,175,135,down,down,a
180,195,175,155,down,down,a
160,195,175,155,down,down,a
140,195,175,175,left,down,w
140,175,175,195,left,down,w
140,155,175,215,left,down,w
140,135,175,215,up,down,d
160,135,155,215,up,left,d
180,135,135,215,up,left,d
200,135,135,215,right,right,s
200,155,155,215,right,right,s
200,175,155,195,right,up,s
200,195,155,195,down,up,a
180,195,155,175,down,left,a
160,195,135,175,down,left,a
140,195,135,195,down,down,a
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,d
140,75,215,175,right,right,d
160,75,235,175,right,left,s
160,95,215,175,right,left,s
160,115,215,175,right,left,s
160,135,195,175,down,left,a
140,135,175,175,down,left,a
120,135,175,195,down,down,a
100,135,175,195,left,down,s
100,155,175,215,left,down,s
100,175,175,235,left,down,s
100,195,175,235,left,down,s
100,215,175,255,left,right,s
100,235,195,255,left,right,s
100,255,195,255,left,right,s
100,275,215,255,left,right,s
100,295,235,255,left,right,s
100,315,235,235,down,up,d
120,315,235,235,down,up,d
140,315,235,215,down,up,d
160,315,235,195,down,up,d
180,315,235,195,down,up,d
200,315,235,175,down,down,d
220,315,235,195,down,down,d
240,315,235,195,right,down,w
240,295,235,215,right,down,w
240,275,235,235,right,down,w
240,255,255,235,right,right,w
240,235,255,235,right,right,w
240,215,275,235,right,right,w
240,195,295,235,right,right,w
240,175,295,235,right,right,w
240,155,315,235,right,up,w
240,135,315,215,up,up,d
260,135,315,215,up,up,d
280,135,315,195,up,up,d
